E:\SDc\DAta\IMG\center_2021_04_16_21_24_01_898.jpg,E:\SDc\DAta\IMG\left_2021_04_16_21_24_01_898.jpg,E:\SDc\DAta\IMG\right_2021_04_16_21_24_01_898.jpg,-0.05,1,0,30.18957
E:\SDc\DAta\IMG\center_2021_04_16_21_24_01_968.jpg,E:\SDc\DAta\IMG\left_2021_04_16_21_24_01_968.jpg,E:\SDc\DAta\IMG\right_2021_04_16_21_24_01_968.jpg,-0.25,1,0,30.17489
E:\SDc\DAta\IMG\center_2021_04_16_21_24_02_039.jpg,E:\SDc\DAta\IMG\left_2021_04_16_21_24_02_039.jpg,E:\SDc\DAta\IMG\right_2021_04_16_21_24_02_039.jpg,-0.4,1,0,30.15784
E:\SDc\DAta\IMG\center_2021_04_16_21_24_02_107.jpg,E:\SDc\DAta\IMG\left_2021_04_16_21_24_02_107.jpg,E:\SDc\DAta\IMG\right_2021_04_16_21_24_02_107.jpg,-0.6000001,1,0,30.13227
E:\SDc\DAta\IMG\center_2021_04_16_21_24_02_174.jpg,E:\SDc\DAta\IMG\left_2021_04_16_21_24_02_174.jpg,E:\SDc\DAta\IMG\right_2021_04_16_21_24_02_174.jpg,0,1,0,30.17643
E:\SDc\DAta\IMG\center_2021_04_16_21_24_02_244.jpg,E:\SDc\DAta\IMG\left_2021_04_16_21_24_02_244.jpg,E:\SDc\DAta\IMG\right_2021_04_16_21_24_02_244.jpg,0,1,0,30.18728
E:\SDc\DAta\IMG\center_2021_04_16_21_24_02_315.jpg,E:\SDc\DAta\IMG\left_2021_04_16_21_24_02_315.jpg,E:\SDc\DAta\IMG\right_2021_04_16_21_24_02_315.jpg,0,1,0,30.19071
E:\SDc\DAta\IMG\center_2021_04_16_21_24_02_385.jpg,E:\SDc\DAta\IMG\left_2021_04_16_21_24_02_385.jpg,E:\SDc\DAta\IMG\right_2021_04_16_21_24_02_385.jpg,0,1,0,30.18974
E:\SDc\DAta\IMG\center_2021_04_16_21_24_02_456.jpg,E:\SDc\DAta\IMG\left_2021_04_16_21_24_02_456.jpg,E:\SDc\DAta\IMG\right_2021_04_16_21_24_02_456.jpg,0,1,0,30.19009
E:\SDc\DAta\IMG\center_2021_04_16_21_24_02_525.jpg,E:\SDc\DAta\IMG\left_2021_04_16_21_24_02_525.jpg,E:\SDc\DAta\IMG\right_2021_04_16_21_24_02_525.jpg,0,1,0,30.19023
E:\SDc\DAta\IMG\center_2021_04_16_21_24_02_592.jpg,E:\SDc\DAta\IMG\left_2021_04_16_21_24_02_592.jpg,E:\SDc\DAta\IMG\right_2021_04_16_21_24_02_592.jpg,0,1,0,30.19024
E:\SDc\DAta\IMG\center_2021_04_16_21_24_02_663.jpg,E:\SDc\DAta\IMG\left_2021_04_16_21_24_02_663.jpg,E:\SDc\DAta\IMG\right_2021_04_16_21_24_02_663.jpg,0,1,0,30.19023
E:\SDc\DAta\IMG\center_2021_04_16_21_24_02_730.jpg,E:\SDc\DAta\IMG\left_2021_04_16_21_24_02_730.jpg,E:\SDc\DAta\IMG\right_2021_04_16_21_24_02_730.jpg,-0.05,1,0,30.18971
